VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, fTexCoord.x, fTexCoord.y
0, 0, -1.00, -0.94333,  0.00,  1.00,  0.35112,  0.05263
1, 1, -0.98105, -1.00,  0.00,  1.00,  0.36228,  0.94737
2, 2, -0.98105, -0.94333,  0.00,  1.00,  0.36228,  0.05263
3, 3, -1.00, -0.94333,  0.00,  1.00,  0.35112,  0.05263
4, 4, -1.00, -1.00,  0.00,  1.00,  0.35112,  0.94737
5, 5, -0.98105, -1.00,  0.00,  1.00,  0.36228,  0.94737
6, 6, -0.98105, -0.94333,  0.00,  1.00,  0.00124,  0.05263
7, 7, -0.96211, -1.00,  0.00,  1.00,  0.01241,  0.94737
8, 8, -0.96211, -0.94333,  0.00,  1.00,  0.01241,  0.05263
9, 9, -0.98105, -0.94333,  0.00,  1.00,  0.00124,  0.05263
10, 10, -0.98105, -1.00,  0.00,  1.00,  0.00124,  0.94737
11, 11, -0.96211, -1.00,  0.00,  1.00,  0.01241,  0.94737
12, 12, -0.96211, -0.94333,  0.00,  1.00,  0.14888,  0.05263
13, 13, -0.94105, -1.00,  0.00,  1.00,  0.16129,  0.94737
14, 14, -0.94105, -0.94333,  0.00,  1.00,  0.16129,  0.05263
15, 15, -0.96211, -0.94333,  0.00,  1.00,  0.14888,  0.05263
16, 16, -0.96211, -1.00,  0.00,  1.00,  0.14888,  0.94737
17, 17, -0.94105, -1.00,  0.00,  1.00,  0.16129,  0.94737
18, 18, -0.94105, -0.94333,  0.00,  1.00,  0.05087,  0.05263
19, 19, -0.92211, -1.00,  0.00,  1.00,  0.06203,  0.94737
20, 20, -0.92211, -0.94333,  0.00,  1.00,  0.06203,  0.05263
21, 21, -0.94105, -0.94333,  0.00,  1.00,  0.05087,  0.05263
22, 22, -0.94105, -1.00,  0.00,  1.00,  0.05087,  0.94737
23, 23, -0.92211, -1.00,  0.00,  1.00,  0.06203,  0.94737
24, 24, -0.92211, -0.94333,  0.00,  1.00,  0.21216,  0.05263
25, 25, -0.90316, -1.00,  0.00,  1.00,  0.22333,  0.94737
26, 26, -0.90316, -0.94333,  0.00,  1.00,  0.22333,  0.05263
27, 27, -0.92211, -0.94333,  0.00,  1.00,  0.21216,  0.05263
28, 28, -0.92211, -1.00,  0.00,  1.00,  0.21216,  0.94737
29, 29, -0.90316, -1.00,  0.00,  1.00,  0.22333,  0.94737
30, 30, -0.90316, -0.94333,  0.00,  1.00,  0.00124,  0.05263
31, 31, -0.88421, -1.00,  0.00,  1.00,  0.01241,  0.94737
32, 32, -0.88421, -0.94333,  0.00,  1.00,  0.01241,  0.05263
33, 33, -0.90316, -0.94333,  0.00,  1.00,  0.00124,  0.05263
34, 34, -0.90316, -1.00,  0.00,  1.00,  0.00124,  0.94737
35, 35, -0.88421, -1.00,  0.00,  1.00,  0.01241,  0.94737
36, 36, -0.87579, -0.94333,  0.00,  1.00,  0.28784,  0.05263
37, 37, -0.85684, -1.00,  0.00,  1.00,  0.29901,  0.94737
38, 38, -0.85684, -0.94333,  0.00,  1.00,  0.29901,  0.05263
39, 39, -0.87579, -0.94333,  0.00,  1.00,  0.28784,  0.05263
40, 40, -0.87579, -1.00,  0.00,  1.00,  0.28784,  0.94737
41, 41, -0.85684, -1.00,  0.00,  1.00,  0.29901,  0.94737
42, 42, -0.85684, -0.94333,  0.00,  1.00,  0.87221,  0.05263
43, 43, -0.84421, -1.00,  0.00,  1.00,  0.87965,  0.94737
44, 44, -0.84421, -0.94333,  0.00,  1.00,  0.87965,  0.05263
45, 45, -0.85684, -0.94333,  0.00,  1.00,  0.87221,  0.05263
46, 46, -0.85684, -1.00,  0.00,  1.00,  0.87221,  0.94737
47, 47, -0.84421, -1.00,  0.00,  1.00,  0.87965,  0.94737
48, 48, -0.83579, -0.94333,  0.00,  1.00,  0.65012,  0.05263
49, 49, -0.81684, -1.00,  0.00,  1.00,  0.66129,  0.94737
50, 50, -0.81684, -0.94333,  0.00,  1.00,  0.66129,  0.05263
51, 51, -0.83579, -0.94333,  0.00,  1.00,  0.65012,  0.05263
52, 52, -0.83579, -1.00,  0.00,  1.00,  0.65012,  0.94737
53, 53, -0.81684, -1.00,  0.00,  1.00,  0.66129,  0.94737
54, 54, -0.80842, -0.94333,  0.00,  1.00,  0.35112,  0.05263
55, 55, -0.78947, -1.00,  0.00,  1.00,  0.36228,  0.94737
56, 56, -0.78947, -0.94333,  0.00,  1.00,  0.36228,  0.05263
57, 57, -0.80842, -0.94333,  0.00,  1.00,  0.35112,  0.05263
58, 58, -0.80842, -1.00,  0.00,  1.00,  0.35112,  0.94737
59, 59, -0.78947, -1.00,  0.00,  1.00,  0.36228,  0.94737
60, 60, -0.78947, -0.94333,  0.00,  1.00,  0.00124,  0.05263
61, 61, -0.77053, -1.00,  0.00,  1.00,  0.01241,  0.94737
62, 62, -0.77053, -0.94333,  0.00,  1.00,  0.01241,  0.05263
63, 63, -0.78947, -0.94333,  0.00,  1.00,  0.00124,  0.05263
64, 64, -0.78947, -1.00,  0.00,  1.00,  0.00124,  0.94737
65, 65, -0.77053, -1.00,  0.00,  1.00,  0.01241,  0.94737
66, 66, -0.77053, -0.94333,  0.00,  1.00,  0.14888,  0.05263
67, 67, -0.74947, -1.00,  0.00,  1.00,  0.16129,  0.94737
68, 68, -0.74947, -0.94333,  0.00,  1.00,  0.16129,  0.05263
69, 69, -0.77053, -0.94333,  0.00,  1.00,  0.14888,  0.05263
70, 70, -0.77053, -1.00,  0.00,  1.00,  0.14888,  0.94737
71, 71, -0.74947, -1.00,  0.00,  1.00,  0.16129,  0.94737
72, 72, -0.74947, -0.94333,  0.00,  1.00,  0.05087,  0.05263
73, 73, -0.73053, -1.00,  0.00,  1.00,  0.06203,  0.94737
74, 74, -0.73053, -0.94333,  0.00,  1.00,  0.06203,  0.05263
75, 75, -0.74947, -0.94333,  0.00,  1.00,  0.05087,  0.05263
76, 76, -0.74947, -1.00,  0.00,  1.00,  0.05087,  0.94737
77, 77, -0.73053, -1.00,  0.00,  1.00,  0.06203,  0.94737
